title,imageURL,genre, favorited, rating, wishlisted, cost
The Elder Scrolls 5: Skyrim, https://upload.wikimedia.org/wikipedia/en/thumb/1/15/The_Elder_Scrolls_V_Skyrim_cover.png/250px-The_Elder_Scrolls_V_Skyrim_cover.png, Action | Fighting | RPG, false, Rating: N/A, false, Cost: $40
Fallout: New Vegas, https://upload.wikimedia.org/wikipedia/en/thumb/3/34/Fallout_New_Vegas.jpg/250px-Fallout_New_Vegas.jpg, Adventure | RPG | Shooter, false, Rating: N/A, false, Cost: $10
Final Fantasy VII, https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/FFVIIRemake.png/250px-FFVIIRemake.png, Adventure | Fighting | RPG, false, Rating: N/A, false, Cost: $12
Ghost of Tsushima, https://upload.wikimedia.org/wikipedia/en/thumb/b/b6/Ghost_of_Tsushima.jpg/250px-Ghost_of_Tsushima.jpg, Fighting | RPG | Stealth, false, Rating: N/A, false, Cost: $60
Goldeneye, https://upload.wikimedia.org/wikipedia/en/thumb/2/24/GoldenEye_-_UK_cinema_poster.jpg/250px-GoldenEye_-_UK_cinema_poster.jpg, Action | Adventure | Shooter, false, Rating: N/A, false, Cost: $5
God of War, https://upload.wikimedia.org/wikipedia/en/thumb/e/ee/God_of_War_Ragnar%C3%B6k_cover.jpg/250px-God_of_War_Ragnar%C3%B6k_cover.jpg, Action | Fighting | RPG, false, Rating: N/A, false, Cost: $60
GTA 5, https://upload.wikimedia.org/wikipedia/en/thumb/a/a5/Grand_Theft_Auto_V.png/250px-Grand_Theft_Auto_V.png, Adventure | RPG | Shooter, false, Rating: N/A, false, Cost: $30
Half-Life 2, https://upload.wikimedia.org/wikipedia/en/thumb/2/25/Half-Life_2_cover.jpg/250px-Half-Life_2_cover.jpg, Action | Shooter | Survival, false, Rating: N/A, false, Cost: $10
Hades, https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Hades_cover_art.jpg/220px-Hades_cover_art.jpg, Action | Roguelike | RPG, false, Rating: N/A, false, Cost: $20
Halo: Combat Evolved, https://upload.wikimedia.org/wikipedia/en/thumb/8/80/Halo_-_Combat_Evolved_%28XBox_version_-_box_art%29.jpg/250px-Halo_-_Combat_Evolved_%28XBox_version_-_box_art%29.jpg, Action | RPG | Shooter, false, Rating: N/A, false, Cost: $10
Hollow Knight,https://upload.wikimedia.org/wikipedia/en/thumb/0/04/Hollow_Knight_first_cover_art.webp/220px-Hollow_Knight_first_cover_art.webp.png, Action | Metroidvania | Soulslike, false, Rating: N/A, false, Cost: $15
Horizon Zero Dawn, https://upload.wikimedia.org/wikipedia/en/thumb/9/93/Horizon_Zero_Dawn.jpg/250px-Horizon_Zero_Dawn.jpg, Action | RPG | Shooter, false, Rating: N/A, false, Cost: $50
Insomniac's Spider-Man, https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Spider-Man_PS4_cover.jpg/250px-Spider-Man_PS4_cover.jpg, Action | Fighting | RPG, false, Rating: N/A, false, Cost: $40
Kingdom Hearts 2, https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/Kingdom_Hearts_II_%28PS2%29.jpg/220px-Kingdom_Hearts_II_%28PS2%29.jpg, Action | Fighting | RPG, false, Rating: N/A, false, Cost: $10
The Last of Us, https://upload.wikimedia.org/wikipedia/en/thumb/4/46/Video_Game_Cover_-_The_Last_of_Us.jpg/220px-Video_Game_Cover_-_The_Last_of_Us.jpg, Action | Stealth | Survival, false, Rating: N/A, false, Cost: $60
League of Legends, https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/League_of_Legends_2019_vector.svg/250px-League_of_Legends_2019_vector.svg.png, Fighting | RPG | Strategy, false, Rating: N/A, false, Cost: $0
The Legend of Zelda: Ocarina of Time, https://upload.wikimedia.org/wikipedia/en/thumb/3/30/The_Legend_of_Zelda_Ocarina_of_Time_3D_box_art.png/250px-The_Legend_of_Zelda_Ocarina_of_Time_3D_box_art.png, Adventure | Fighting | RPG, false, Rating: N/A, false, Cost: $25
